gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group E,master's degree,free/reduced,none,54,73,68
female,group C,high school,standard,none,64,70,73
male,group C,some college,free/reduced,none,62,58,52
male,group B,associate's degree,standard,completed,69,62,67
female,group C,high school,free/reduced,completed,48,66,68
male,group E,some high school,standard,completed,70,54,58
female,group C,some college,standard,none,71,75,78
female,group D,some college,free/reduced,none,60,68,62
female,group C,some high school,free/reduced,completed,30,35,44
female,group C,some college,standard,completed,70,73,74
male,group E,some college,standard,completed,81,72,73
female,group C,associate's degree,standard,none,39,58,49
female,group A,some high school,standard,completed,93,100,98
female,group A,some college,standard,none,55,55,64
male,group D,associate's degree,standard,none,79,77,75
male,group C,bachelor's degree,standard,completed,91,89,90
male,group C,high school,standard,none,81,67,61
male,group B,some college,free/reduced,none,57,57,43
female,group B,some high school,free/reduced,none,72,82,79
female,group D,some high school,standard,none,68,69,75
male,group C,some college,standard,none,77,78,72
female,group C,high school,free/reduced,none,37,38,38
male,group C,some college,free/reduced,none,63,60,54
female,group C,high school,standard,completed,57,78,78
female,group C,associate's degree,standard,none,87,86,95
male,group B,high school,standard,none,60,56,48
female,group B,high school,standard,none,45,56,51
male,group E,some college,standard,none,76,67,67
male,group E,bachelor's degree,standard,none,80,60,63
female,group A,master's degree,standard,none,47,54,56
female,group C,bachelor's degree,standard,none,68,78,85
male,group D,some college,free/reduced,none,80,57,64
female,group E,associate's degree,standard,none,85,89,85
male,group C,bachelor's degree,free/reduced,none,52,62,55
female,group C,associate's degree,standard,none,52,54,55
female,group E,high school,standard,none,72,84,72
female,group C,some college,standard,completed,69,69,81
female,group C,high school,standard,none,82,84,82
male,group D,high school,free/reduced,completed,72,68,64
female,group D,some college,free/reduced,completed,63,79,75
male,group C,associate's degree,free/reduced,completed,78,81,84
female,group D,some high school,standard,completed,66,76,84
male,group D,some high school,standard,none,58,49,42
female,group B,associate's degree,standard,none,49,53,51
male,group B,associate's degree,standard,completed,66,65,61
male,group D,some college,standard,none,72,64,65
female,group C,bachelor's degree,free/reduced,none,50,59,57
female,group B,some high school,standard,none,71,76,79
male,group A,high school,standard,completed,70,71,74
male,group C,high school,standard,completed,73,69,68
male,group E,associate's degree,standard,completed,80,80,78
male,group C,high school,standard,completed,55,53,47
male,group D,associate's degree,free/reduced,none,63,63,61
male,group B,associate's degree,free/reduced,completed,58,56,52
female,group D,associate's degree,standard,completed,56,76,80
female,group D,high school,standard,none,55,54,52
female,group C,some college,standard,none,75,80,82
female,group E,associate's degree,free/reduced,completed,58,67,71
female,group B,high school,standard,none,84,89,86
male,group B,high school,standard,none,60,67,62
female,group C,associate's degree,standard,completed,54,73,81
female,group C,high school,free/reduced,completed,50,69,65
female,group E,some high school,free/reduced,none,74,74,69
female,group B,bachelor's degree,standard,completed,65,79,83
female,group E,associate's degree,free/reduced,completed,55,72,74
female,group C,bachelor's degree,standard,none,67,68,79
male,group C,associate's degree,free/reduced,completed,65,71,67
female,group C,some college,free/reduced,none,37,38,34
female,group D,some high school,free/reduced,completed,39,54,58
female,group E,associate's degree,free/reduced,none,68,87,77
female,group D,master's degree,standard,none,91,97,96
male,group C,high school,standard,none,68,61,61
female,group D,associate's degree,standard,none,75,74,71
female,group B,some high school,standard,none,83,81,81
female,group C,bachelor's degree,standard,completed,79,93,96
female,group C,associate's degree,standard,completed,67,85,84
male,group D,some college,standard,none,75,64,63
female,group C,bachelor's degree,standard,none,73,87,85
female,group B,associate's degree,standard,completed,52,66,73
female,group A,some high school,free/reduced,none,36,41,44
female,group D,some high school,standard,none,79,94,83
female,group D,bachelor's degree,free/reduced,none,71,81,86
female,group D,master's degree,standard,none,92,100,99
female,group B,bachelor's degree,standard,completed,62,73,81
male,group D,associate's degree,standard,none,58,50,47
female,group A,high school,free/reduced,completed,57,51,62
male,group B,some college,free/reduced,none,52,55,47
female,group B,some college,standard,none,68,74,78
male,group D,some college,free/reduced,none,63,63,61
female,group D,associate's degree,free/reduced,completed,48,64,58
male,group C,bachelor's degree,free/reduced,none,35,56,46
female,group D,master's degree,standard,completed,69,70,73
female,group B,high school,standard,none,51,53,51
male,group C,associate's degree,standard,none,86,72,79
female,group E,some college,standard,completed,71,77,77
female,group B,associate's degree,standard,completed,52,65,73
female,group B,high school,free/reduced,none,62,74,69
male,group E,some high school,standard,none,93,89,78
female,group C,some high school,free/reduced,completed,28,45,48
female,group C,high school,standard,none,65,70,69
female,group A,some college,standard,none,51,63,71
female,group C,associate's degree,free/reduced,completed,56,70,69
female,group D,some college,standard,completed,81,95,96
male,group D,associate's degree,free/reduced,none,52,58,50
female,group C,master's degree,free/reduced,none,39,60,57
female,group C,high school,standard,none,64,71,70
female,group B,bachelor's degree,standard,none,69,89,84
female,group E,associate's degree,free/reduced,none,73,75,78
male,group A,associate's degree,standard,none,55,52,49
male,group B,some high school,standard,none,68,54,52
female,group C,some college,standard,none,54,46,49
female,group D,high school,standard,none,77,82,84
female,group D,some college,free/reduced,completed,64,81,80
female,group D,high school,standard,none,69,73,79
female,group C,bachelor's degree,standard,none,90,92,86
female,group D,some college,free/reduced,none,67,76,77
female,group E,some college,standard,none,68,77,77
female,group E,bachelor's degree,standard,none,62,72,72
male,group A,associate's degree,standard,none,52,47,46
male,group C,bachelor's degree,standard,completed,96,89,94
female,group E,bachelor's degree,free/reduced,none,62,58,63
female,group D,some college,standard,completed,76,77,79
female,group B,associate's degree,standard,none,44,49,53
female,group D,associate's degree,standard,completed,59,77,80
male,group A,associate's degree,standard,none,55,51,46
female,group C,some college,standard,completed,67,88,88
female,group D,associate's degree,free/reduced,completed,73,89,88
male,group B,some high school,standard,completed,62,58,56
male,group B,associate's degree,standard,none,48,40,46
male,group C,some high school,standard,none,61,64,55
male,group C,high school,free/reduced,none,62,57,55
male,group C,master's degree,standard,none,66,57,58
female,group B,associate's degree,standard,completed,52,67,71
female,group A,some high school,free/reduced,none,41,45,43
female,group A,some college,free/reduced,none,44,66,56
female,group D,some high school,standard,completed,80,91,87
female,group A,bachelor's degree,standard,none,51,52,52
male,group C,some college,standard,none,54,43,44
female,group C,some high school,free/reduced,completed,28,39,46
male,group C,some college,standard,none,49,40,36
male,group D,associate's degree,free/reduced,none,53,56,47
female,group D,associate's degree,free/reduced,completed,45,61,59
male,group E,high school,standard,none,81,72,68
male,group E,associate's degree,standard,none,91,76,74
female,group C,high school,standard,completed,59,64,73
male,group C,high school,standard,none,70,52,54
male,group C,associate's degree,standard,none,67,77,68
female,group D,associate's degree,standard,none,64,65,74
female,group C,some college,standard,completed,91,92,95
female,group C,some high school,standard,completed,60,55,69
female,group C,high school,standard,completed,61,74,77
female,group E,bachelor's degree,standard,none,67,74,73
male,group B,bachelor's degree,free/reduced,none,74,57,58
male,group E,high school,standard,none,76,60,58
male,group D,bachelor's degree,free/reduced,none,56,48,43
female,group B,associate's degree,standard,none,60,63,66
male,group E,high school,free/reduced,none,54,55,52
male,group D,some high school,standard,none,81,77,75
male,group B,high school,standard,none,56,44,52
male,group D,some college,standard,none,78,71,75
male,group E,some college,standard,none,66,73,62
male,group A,high school,standard,none,59,42,51
female,group E,some college,standard,none,61,62,65
female,group C,associate's degree,standard,completed,69,84,83
male,group D,high school,free/reduced,none,65,59,55
male,group E,high school,standard,none,84,78,63
female,group C,some college,standard,none,83,92,92
female,group C,some college,free/reduced,none,74,94,92
male,group D,high school,free/reduced,none,75,76,66
male,group B,high school,standard,none,50,50,47
male,group D,associate's degree,standard,none,89,87,83
female,group B,high school,standard,none,65,61,63
female,group C,some college,standard,none,63,71,70
male,group D,some college,free/reduced,none,61,55,60
female,group A,some college,free/reduced,none,47,66,55
female,group C,high school,standard,none,72,79,76
female,group E,associate's degree,standard,none,98,100,100
male,group D,some college,standard,none,75,72,74
male,group B,some high school,standard,none,89,84,75
male,group C,associate's degree,free/reduced,none,75,68,66
female,group C,some college,standard,completed,72,72,79
male,group C,some college,standard,completed,88,85,90
female,group C,some high school,standard,none,78,88,88
male,group B,some high school,standard,completed,64,53,58
male,group E,associate's degree,free/reduced,completed,47,42,42
male,group D,some college,free/reduced,none,73,63,59
female,group D,associate's degree,standard,none,72,73,70
male,group C,some high school,free/reduced,none,78,79,66
male,group C,associate's degree,standard,none,50,51,43
female,group C,some college,standard,completed,67,74,74
male,group D,high school,standard,none,44,50,49
female,group A,some college,standard,completed,73,78,83
male,group E,some high school,standard,completed,83,74,76
female,group E,some high school,free/reduced,none,73,75,72
female,group C,associate's degree,standard,completed,70,84,84
female,group C,associate's degree,standard,none,56,58,57
male,group A,some high school,standard,completed,62,66,69
female,group C,bachelor's degree,free/reduced,completed,51,73,79
female,group D,some college,free/reduced,completed,68,84,81
male,group E,associate's degree,standard,completed,69,75,65
male,group D,some college,free/reduced,completed,69,59,62
female,group C,some high school,free/reduced,none,44,46,51
female,group B,high school,standard,none,63,64,65
male,group A,high school,standard,none,59,44,43
female,group C,high school,standard,none,70,80,74
male,group A,some college,standard,completed,100,96,86
male,group A,bachelor's degree,standard,none,94,96,92
male,group C,bachelor's degree,standard,completed,62,62,66
female,group C,some college,standard,completed,67,93,87
male,group B,high school,free/reduced,none,36,29,25
male,group B,associate's degree,standard,none,82,77,65
male,group D,master's degree,standard,none,80,79,72
female,group A,high school,standard,completed,71,81,76
female,group C,associate's degree,free/reduced,none,67,79,78
female,group D,associate's degree,standard,none,76,81,85
male,group D,associate's degree,free/reduced,none,67,63,65
male,group D,high school,free/reduced,completed,69,66,69
female,group B,bachelor's degree,standard,none,67,87,84
female,group D,some college,free/reduced,none,54,69,61
female,group D,associate's degree,free/reduced,none,46,61,56
male,group B,some high school,standard,completed,93,87,89
male,group E,high school,standard,completed,81,80,76
male,group D,master's degree,standard,none,92,86,84
female,group D,high school,standard,completed,85,98,100
male,group A,bachelor's degree,standard,none,74,68,65
male,group D,high school,standard,none,85,83,76
female,group C,some college,standard,none,53,70,68
female,group C,some college,standard,none,70,76,76
male,group B,some college,standard,completed,92,95,92
male,group D,associate's degree,standard,none,62,49,48
female,group A,high school,standard,none,52,72,70
female,group E,bachelor's degree,free/reduced,none,56,56,58
male,group C,some college,standard,none,63,60,60
male,group E,high school,free/reduced,completed,56,56,51
female,group D,high school,standard,completed,58,61,67
male,group B,high school,standard,completed,61,43,49
female,group A,high school,standard,none,61,70,66
male,group D,master's degree,standard,none,82,79,72
female,group C,some college,standard,none,72,71,73
male,group C,high school,standard,none,63,56,49
female,group C,bachelor's degree,standard,none,85,89,88
female,group C,associate's degree,standard,completed,68,89,88
female,group D,some college,free/reduced,none,58,68,59
female,group B,associate's degree,standard,completed,61,72,69
female,group C,associate's degree,standard,none,52,61,49
female,group C,bachelor's degree,free/reduced,completed,48,63,66
female,group E,some high school,free/reduced,none,31,36,39
male,group C,some high school,standard,none,57,61,53
male,group C,associate's degree,standard,none,51,49,44
male,group A,bachelor's degree,free/reduced,none,58,70,66
female,group D,bachelor's degree,free/reduced,none,75,89,94
male,group B,master's degree,free/reduced,none,46,53,52
male,group E,associate's degree,free/reduced,completed,86,73,79
male,group C,some college,standard,none,83,86,81
female,group D,high school,standard,none,68,73,73
female,group E,master's degree,standard,completed,87,98,95
male,group B,associate's degree,free/reduced,completed,82,77,73
female,group D,master's degree,standard,none,55,63,68
male,group C,some high school,standard,completed,70,74,67
female,group C,associate's degree,standard,none,85,87,94
female,group C,some high school,standard,completed,88,89,91
male,group B,some high school,standard,completed,94,84,87
female,group E,some college,standard,none,66,70,64
female,group E,associate's degree,standard,completed,94,91,93
female,group E,some high school,free/reduced,none,29,37,40
female,group D,some college,standard,none,75,70,80
male,group D,bachelor's degree,free/reduced,completed,73,83,75
female,group C,master's degree,standard,completed,71,84,91
female,group C,some high school,standard,completed,62,56,68
female,group D,associate's degree,standard,none,73,73,73
female,group E,master's degree,free/reduced,none,57,69,69
male,group D,associate's degree,free/reduced,none,75,77,71
male,group B,high school,standard,completed,73,65,68
female,group C,some college,standard,none,62,74,68
female,group B,high school,free/reduced,none,60,73,68
male,group C,some college,standard,none,93,72,78
female,group D,bachelor's degree,standard,none,58,72,74
female,group B,some college,free/reduced,completed,64,73,71
male,group B,some college,standard,completed,85,84,87
male,group D,associate's degree,standard,completed,80,74,74
female,group D,some high school,free/reduced,none,51,62,61
female,group C,some college,standard,completed,88,98,93
male,group C,some college,standard,none,60,62,60
male,group C,bachelor's degree,standard,completed,97,91,90
male,group D,associate's degree,free/reduced,none,78,70,74
female,group B,some high school,free/reduced,none,48,57,54
female,group D,bachelor's degree,free/reduced,none,70,81,84
male,group B,some college,standard,none,71,55,55
female,group E,master's degree,free/reduced,none,44,55,55
female,group C,some high school,standard,completed,87,91,93
female,group E,associate's degree,free/reduced,none,71,88,80
female,group E,some college,standard,none,61,66,65
female,group D,some college,free/reduced,completed,71,80,81
female,group D,some high school,standard,none,63,71,84
male,group C,high school,standard,none,79,82,71
male,group B,high school,standard,completed,73,70,68
female,group C,associate's degree,free/reduced,none,65,80,74
female,group D,some high school,free/reduced,completed,71,88,80
male,group B,some high school,standard,completed,92,88,85
female,group D,associate's degree,free/reduced,none,44,62,57
female,group C,some high school,standard,completed,76,87,84
female,group A,some high school,standard,completed,93,100,98
male,group D,some college,standard,completed,74,86,81
female,group D,associate's degree,free/reduced,completed,54,75,72
male,group A,some high school,standard,none,60,48,42
male,group C,high school,standard,none,86,92,87
male,group E,some high school,standard,none,93,87,78
male,group B,some high school,standard,completed,60,56,56
male,group B,some college,free/reduced,none,64,59,60
male,group E,bachelor's degree,standard,completed,78,57,67
male,group B,associate's degree,standard,none,63,54,58
male,group D,some high school,standard,none,75,78,69
female,group E,some college,standard,completed,65,75,70
female,group D,some college,free/reduced,none,57,73,62
female,group E,associate's degree,standard,none,85,92,87
male,group B,some college,free/reduced,none,56,55,46
female,group D,associate's degree,standard,none,73,81,87
male,group B,bachelor's degree,free/reduced,none,75,56,59
male,group D,high school,free/reduced,none,73,75,65
female,group C,some college,standard,none,54,51,49
male,group D,some high school,free/reduced,none,61,52,54
male,group C,master's degree,free/reduced,completed,62,68,73
female,group C,associate's degree,standard,none,88,85,81
female,group D,some college,free/reduced,none,58,70,61
male,group C,high school,free/reduced,none,67,62,57
female,group D,associate's degree,free/reduced,none,55,73,75
male,group C,high school,standard,none,84,77,73
female,group E,associate's degree,standard,none,64,67,67
female,group B,some high school,standard,completed,61,69,69
female,group B,high school,free/reduced,none,6,25,27
female,group D,high school,free/reduced,completed,66,65,72
male,group B,some high school,standard,completed,81,85,86
male,group B,associate's degree,free/reduced,completed,83,78,71
female,group E,some college,standard,none,61,74,71
female,group C,some college,standard,none,72,81,84
male,group D,some college,standard,completed,64,78,77
female,group B,some high school,free/reduced,none,20,32,28
male,group D,high school,free/reduced,none,62,73,70
female,group E,some college,free/reduced,none,52,56,55
male,group B,associate's degree,standard,none,44,44,46
male,group D,bachelor's degree,free/reduced,none,65,66,68
female,group C,some college,standard,none,74,79,81
female,group C,some college,standard,completed,72,70,78
female,group E,master's degree,standard,completed,93,98,100
female,group D,some college,free/reduced,none,57,66,67
male,group D,some college,standard,completed,94,95,98
female,group B,some high school,standard,none,66,88,84
male,group C,high school,standard,none,86,66,61
male,group E,some high school,standard,none,83,64,61
female,group D,some college,free/reduced,none,54,69,68
female,group D,some high school,free/reduced,none,49,58,51
male,group E,some college,standard,none,83,75,76
male,group D,some high school,standard,none,61,68,59
male,group A,associate's degree,free/reduced,completed,79,81,86
female,group E,some college,standard,none,67,76,75
male,group A,high school,standard,none,59,49,56
male,group C,bachelor's degree,standard,completed,92,77,82
male,group B,high school,standard,completed,61,43,48
male,group E,associate's degree,free/reduced,completed,45,44,44
male,group E,some college,standard,none,78,68,69
male,group A,some high school,standard,none,54,31,39
male,group C,associate's degree,standard,none,83,74,72
female,group C,master's degree,standard,completed,79,93,86
female,group D,associate's degree,free/reduced,completed,78,89,85
male,group E,bachelor's degree,standard,completed,76,61,67
male,group B,high school,standard,none,63,66,58
female,group D,some college,free/reduced,completed,51,58,67
female,group D,high school,standard,none,54,65,65
male,group C,high school,free/reduced,none,59,54,53
male,group D,bachelor's degree,free/reduced,completed,62,67,76
male,group D,high school,free/reduced,none,72,69,68
female,group B,associate's degree,standard,none,81,78,77
male,group C,high school,standard,completed,51,53,48
female,group C,some high school,standard,none,64,70,75
female,group B,some high school,standard,none,83,80,80
female,group A,high school,free/reduced,completed,31,49,41
female,group C,some high school,free/reduced,none,49,58,54
male,group E,associate's degree,standard,completed,80,83,80
male,group B,some college,standard,completed,64,65,65
female,group C,associate's degree,free/reduced,none,49,59,62
female,group C,high school,free/reduced,completed,65,81,84
female,group B,some high school,free/reduced,none,46,58,56
male,group A,some high school,standard,none,62,54,43
male,group D,some high school,standard,none,60,60,54
female,group A,associate's degree,standard,completed,65,74,77
male,group C,some high school,standard,completed,77,77,68
female,group B,high school,free/reduced,none,64,70,70
female,group C,associate's degree,standard,completed,83,87,89
female,group E,some college,free/reduced,completed,40,56,52
male,group C,high school,free/reduced,none,28,34,37
female,group C,associate's degree,standard,none,47,57,59
female,group B,high school,standard,completed,78,80,88
female,group C,associate's degree,standard,none,53,53,58
female,group E,associate's degree,standard,completed,66,79,79
female,group D,high school,standard,none,49,64,59
male,group E,some high school,standard,none,82,64,61
male,group E,some college,standard,none,52,53,47
male,group D,associate's degree,standard,none,78,59,64
female,group A,bachelor's degree,standard,none,57,74,70
female,group E,high school,standard,none,72,81,72
female,group C,bachelor's degree,standard,none,75,89,86
male,group E,some college,standard,none,83,80,74
male,group E,associate's degree,free/reduced,completed,100,100,95
female,group C,associate's degree,free/reduced,completed,68,66,70
male,group D,bachelor's degree,free/reduced,none,66,69,66
female,group C,high school,standard,none,63,74,61
female,group C,associate's degree,standard,completed,75,73,83
female,group E,associate's degree,free/reduced,none,73,75,81
male,group B,high school,standard,none,59,67,62
female,group A,high school,standard,completed,76,83,83
female,group B,high school,free/reduced,completed,76,88,87
male,group D,high school,standard,none,85,78,75
female,group B,associate's degree,standard,none,73,83,77
male,group C,bachelor's degree,standard,completed,95,91,91
female,group D,associate's degree,free/reduced,none,53,76,75
female,group E,high school,standard,none,99,93,91
male,group C,some college,standard,none,50,47,43
male,group A,bachelor's degree,standard,none,94,96,92
male,group C,associate's degree,free/reduced,completed,67,74,67
male,group C,some college,standard,none,75,77,75
female,group D,associate's degree,standard,none,86,94,88
male,group D,associate's degree,standard,none,56,53,52
female,group C,bachelor's degree,free/reduced,none,60,78,77
male,group D,some college,standard,none,80,84,82
female,group B,some high school,standard,completed,63,80,77
male,group D,bachelor's degree,free/reduced,none,56,48,44
male,group E,associate's degree,standard,none,91,70,76
female,group A,associate's degree,standard,completed,53,63,61
male,group C,high school,free/reduced,none,57,53,51
male,group E,some college,free/reduced,completed,49,57,51
male,group D,some college,free/reduced,none,73,63,57
female,group C,some high school,standard,none,75,91,86
female,group B,some college,standard,none,62,69,68
female,group D,associate's degree,standard,completed,92,90,92
female,group D,some high school,standard,none,70,78,83
male,group A,high school,standard,none,68,77,66
female,group C,some college,standard,none,57,68,70
male,group D,associate's degree,standard,completed,80,71,80
female,group D,associate's degree,free/reduced,none,45,60,56
male,group C,associate's degree,free/reduced,none,77,69,62
female,group C,some college,standard,none,51,69,63
female,group A,some college,free/reduced,none,62,60,54
female,group E,some high school,free/reduced,none,71,83,80
male,group D,high school,free/reduced,none,63,55,53
male,group D,associate's degree,standard,none,51,56,46
male,group E,high school,standard,none,93,71,74
female,group C,high school,standard,none,73,83,73
male,group D,bachelor's degree,standard,none,82,74,78
female,group D,some high school,standard,none,60,66,61
female,group B,bachelor's degree,free/reduced,none,72,82,81
male,group B,some high school,standard,none,69,53,54
female,group B,high school,standard,none,46,62,58
male,group B,some high school,standard,none,72,70,64
male,group E,some college,standard,none,73,65,66
female,group D,some college,standard,completed,80,82,91
male,group D,high school,standard,none,39,51,47
male,group D,associate's degree,standard,none,49,53,47
female,group C,high school,standard,none,76,87,89
male,group D,some high school,free/reduced,none,62,47,52
male,group D,some high school,standard,completed,70,70,63
male,group C,some high school,standard,completed,79,79,73
male,group C,associate's degree,free/reduced,completed,77,81,83
female,group D,some high school,standard,completed,80,93,88
female,group D,bachelor's degree,standard,none,79,79,81
male,group D,some high school,standard,none,72,67,61
female,group D,master's degree,standard,none,55,60,65
female,group C,associate's degree,free/reduced,none,59,75,74
male,group D,bachelor's degree,free/reduced,none,62,66,67
female,group E,associate's degree,standard,none,54,50,55
male,group B,high school,free/reduced,none,34,29,28
male,group C,some college,standard,none,53,49,43
male,group B,some high school,free/reduced,none,51,50,44
female,group D,some college,standard,completed,73,81,80
female,group D,some college,standard,none,62,63,65
male,group D,some college,free/reduced,none,65,66,58
female,group D,some high school,standard,none,80,99,92
